Model,Label,Precision,Recall,F1
HYBRID,ALL,0.303,0.864,0.441
HYBRID,Caption,0.076,0.144,0.09
HYBRID,Footnote,0.017,0.03,0.02
HYBRID,Formula,0.023,0.064,0.032
HYBRID,List-item,0.099,0.217,0.124
HYBRID,Page-footer,0.231,0.556,0.32
HYBRID,Page-header,0.174,0.35,0.227
HYBRID,Picture,0.124,0.285,0.16
HYBRID,Section-header,0.209,0.502,0.268
HYBRID,Table,0.115,0.259,0.151
HYBRID,Text,0.31,0.753,0.422
HYBRID,Title,0.01,0.024,0.013
DETR,ALL,0.25,0.423,0.304
DETR,Caption,0.035,0.052,0.039
DETR,Footnote,0.005,0.01,0.006
DETR,Formula,0.012,0.025,0.016
DETR,List-item,0.032,0.063,0.039
DETR,Page-footer,0.129,0.153,0.135
DETR,Page-header,0.09,0.101,0.093
DETR,Picture,0.103,0.163,0.117
DETR,Section-header,0.066,0.141,0.08
DETR,Table,0.116,0.174,0.132
DETR,Text,0.293,0.414,0.323
DETR,Title,0.008,0.015,0.01
FRCNN,ALL,0.761,0.851,0.79
FRCNN,Caption,0.137,0.143,0.137
FRCNN,Footnote,0.029,0.03,0.029
FRCNN,Formula,0.053,0.061,0.056
FRCNN,List-item,0.221,0.214,0.214
FRCNN,Page-footer,0.527,0.552,0.535
FRCNN,Page-header,0.333,0.344,0.336
FRCNN,Picture,0.232,0.276,0.243
FRCNN,Section-header,0.469,0.488,0.465
FRCNN,Table,0.236,0.255,0.24
FRCNN,Text,0.69,0.747,0.702
FRCNN,Title,0.022,0.023,0.022
