Model,Label,Precision,Recall,F1
HYBRID,ALL,0.329,0.938,0.479
HYBRID,Caption,0.088,0.161,0.103
HYBRID,Footnote,0.018,0.031,0.021
HYBRID,Formula,0.031,0.083,0.043
HYBRID,List-item,0.105,0.228,0.13
HYBRID,Page-footer,0.285,0.694,0.395
HYBRID,Page-header,0.219,0.432,0.281
HYBRID,Picture,0.138,0.312,0.177
HYBRID,Section-header,0.225,0.543,0.289
HYBRID,Table,0.119,0.266,0.155
HYBRID,Text,0.322,0.78,0.438
HYBRID,Title,0.011,0.026,0.014
DETR,ALL,0.391,0.661,0.475
DETR,Caption,0.048,0.078,0.055
DETR,Footnote,0.009,0.016,0.011
DETR,Formula,0.03,0.058,0.039
DETR,List-item,0.063,0.126,0.077
DETR,Page-footer,0.267,0.346,0.288
DETR,Page-header,0.192,0.223,0.201
DETR,Picture,0.137,0.209,0.151
DETR,Section-header,0.15,0.307,0.181
DETR,Table,0.142,0.208,0.16
DETR,Text,0.39,0.556,0.428
DETR,Title,0.014,0.022,0.016
FRCNN,ALL,0.824,0.927,0.856
FRCNN,Caption,0.151,0.158,0.151
FRCNN,Footnote,0.03,0.031,0.03
FRCNN,Formula,0.07,0.081,0.074
FRCNN,List-item,0.228,0.221,0.221
FRCNN,Page-footer,0.66,0.689,0.669
FRCNN,Page-header,0.411,0.424,0.413
FRCNN,Picture,0.255,0.309,0.268
FRCNN,Section-header,0.507,0.533,0.505
FRCNN,Table,0.243,0.262,0.247
FRCNN,Text,0.713,0.773,0.726
FRCNN,Title,0.023,0.024,0.023
